Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.06965,-0.060146,0.00038836,0,0,0,0.32357,9.1438E-05,-2.1084E-08,2.287E-11,9.6935E-05,6.371E-06,0.00012302,0,0,0,0,0,0,package://Spider.SLDASM/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/base_link.STL,,FP04-F52-1;FP04-F51-1;AX-12A.stp-15/ASM0002_ASM.stp-1/PRT0001.stp-1;FP04-F60-2;AX-12A.stp-8/ASM0002_ASM.stp-1/PRT0001.stp-1;FP04-F3-4;AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0001.stp-1;FP04-F60-1;AX-12A.stp-11/ASM0002_ASM.stp-1/PRT0001.stp-1;FP04-F3-7;FP04-F3-39;FP04-F3-36;AX-12A.stp-16/ASM0002_ASM.stp-1/PRT0003.stp-2;AX-12A.stp-8/ASM0002_ASM.stp-1/PRT0003.stp-1;AX-12A.stp-8/ASM0002_ASM.stp-1/PRT0003.stp-2;AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-2;AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-1;AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-4;AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-3;AX-12A.stp-8/ASM0002_ASM.stp-1/PRT0003.stp-3;FP04-F3-3;AX-12A.stp-8/ASM0002_ASM.stp-1/PRT0003.stp-4;AX-12A.stp-15/ASM0002_ASM.stp-1/PRT0003.stp-1;AX-12A.stp-15/ASM0002_ASM.stp-1/PRT0003.stp-3;AX-12A.stp-15/ASM0002_ASM.stp-1/PRT0003.stp-2;AX-12A.stp-15/ASM0002_ASM.stp-1/PRT0003.stp-4;AX-12A.stp-10/ASM0002_ASM.stp-1/PRT0003.stp-3;AX-12A.stp-10/ASM0002_ASM.stp-1/PRT0003.stp-1;AX-12A.stp-10/ASM0002_ASM.stp-1/PRT0003.stp-2;AX-12A.stp-10/ASM0002_ASM.stp-1/PRT0001.stp-1;FP04-F3-8;AX-12A.stp-10/ASM0002_ASM.stp-1/PRT0003.stp-4;AX-12A.stp-11/ASM0002_ASM.stp-1/PRT0003.stp-2;AX-12A.stp-11/ASM0002_ASM.stp-1/PRT0003.stp-4;AX-12A.stp-11/ASM0002_ASM.stp-1/PRT0003.stp-3;AX-12A.stp-11/ASM0002_ASM.stp-1/PRT0003.stp-1;AX-12A.stp-16/ASM0002_ASM.stp-1/PRT0003.stp-1;AX-12A.stp-16/ASM0002_ASM.stp-1/PRT0003.stp-3;AX-12A.stp-16/ASM0002_ASM.stp-1/PRT0001.stp-1;AX-12A.stp-16/ASM0002_ASM.stp-1/PRT0003.stp-4,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1-1,0.0029272,0.0014395,0.028121,0,0,0,0.016509,4.7513E-06,-1.1049E-15,-3.0699E-07,4.7742E-06,-1.5671E-10,6.4655E-06,0,0,0,0,0,0,package://Spider.SLDASM/meshes/link1-1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/link1-1.STL,,FP04-F2-17;AX-12-32/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0007.stp-1;AX-12-32/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0006.stp-1;FP04-F1-17,Origin_joint1-1,F1-1,joint1-1,revolute,0.14565,0.0010255,-0.059724,1.5708,0,1.5708,base_link,0,0,1,100,1,-1.57,1.57,,,,,,,,
link1-2,0.0045584,-0.0039395,-3.9372E-05,0,0,0,0.090281,1.8732E-05,6.9118E-09,1.9053E-07,1.9071E-05,9.4929E-08,2.0377E-05,0,0,0,0,0,0,package://Spider.SLDASM/meshes/link1-2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/link1-2.STL,,FP04-F3-38;AX-12-32/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0007.stp-1;AX-12-32/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0004.stp-2;AX-12-32/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0004.stp-1;AX-12-32/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0001.stp-1;AX-12-33/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-3;AX-12-33/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-4;AX-12-33/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-2;AX-12-33/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-1;AX-12-33/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0004.stp-2;AX-12-33/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0001.stp-1;AX-12-33/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0004.stp-1;AX-12-32/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-4;AX-12-32/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-3;FP04-F3-37;AX-12-33/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0007.stp-1;AX-12-33/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0006.stp-1,Origin_joint1-2,F1-2,joint1-2,revolute,0.0145,0,0.0905,1.4973,0,0,link1-1,0,1,0,100,1,-3.14,3.14,,,,,,,,
link1-3,4.81524561196656E-08,-0.001639555290818,0.0391610106458949,0,0,0,0.0162354598923104,5.70977126449827E-06,-8.8112790832911E-12,2.26674237419322E-11,9.85119727259757E-06,-5.03809142386347E-08,6.18048965390726E-06,0,0,0,0,0,0,package://Spider.SLDASM/meshes/link1-3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/link1-3.STL,,FP04-F4-15;FP04-F6-15,Origin_joint1-3,F1-3,joint1-3,revolute,0.0225,0.018949,0.001395,-1.5708,-1.4973,-1.5708,link1-2,0,1,0,100,1,-3.14,3.14,,,,,,,,
link2-1,0.0028787,-0.0013732,-0.028034,0,0,0,0.01644,4.7506E-06,-1.5342E-16,3.0699E-07,4.7741E-06,-1.567E-10,6.4649E-06,0,0,0,0,0,0,package://Spider.SLDASM/meshes/link2-1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/link2-1.STL,,FP04-F2-9;FP04-F1-9;AX-12-16/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0006.stp-1,Origin_joint2-1,F2-1,joint2-1,revolute,0.09365,0.0010255,0.014776,3.1416,0,1.5708,base_link,0,0,1,100,1,-3.14,3.14,,,,,,,,
link2-2,0.00456940269336029,-0.0375990154493233,-0.000232293803969774,0,0,0,0.0900475899194254,1.87431231972947E-05,-2.09852441088479E-08,-1.89540352094223E-07,1.91013032023302E-05,1.89445374590494E-07,2.03522492142479E-05,0,0,0,0,0,0,package://Spider.SLDASM/meshes/link2-2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/link2-2.STL,,AX-12-16/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0001.stp-1;FP04-F3-21;FP04-F3-20;AX-12-17/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-3;AX-12-17/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-4;AX-12-17/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-1;AX-12-17/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0006.stp-1;AX-12-17/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0007.stp-1;AX-12-17/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-2;AX-12-17/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0004.stp-2;AX-12-17/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0004.stp-1;AX-12-17/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0001.stp-1;AX-12-16/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-4;AX-12-16/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-3;AX-12-16/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-2;AX-12-16/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-1,Origin_j2-2,F2-2,j2-2,revolute,0.0145,0,-0.049,1.5708,0,0,link2-1,1,0,0,100,1,-3.14,3.14,,,,,,,,
l2-3,4.81524561612989E-08,-0.00163955529081801,0.0391610106458949,0,0,0,0.0162354598923105,5.70977126449829E-06,-8.8112790834674E-12,2.26674237541185E-11,9.8511972725976E-06,-5.03809142386373E-08,6.18048965390729E-06,0,0,0,0,0,0,package://Spider.SLDASM/meshes/l2-3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/l2-3.STL,,FP04-F4-7;FP04-F6-7,Origin_j2-3,F2-3,j2-3,revolute,0.0225,-0.0605,0,0,1.5708,0,link2-2,1,0,0,100,1,-3.14,3.14,,,,,,,,
Link3-1,0.0029272,-0.0014395,-0.028121,0,0,0,0.016509,4.7513E-06,1.105E-15,3.0699E-07,4.7742E-06,-1.5671E-10,6.4655E-06,0,0,0,0,0,0,package://Spider.SLDASM/meshes/Link3-1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/Link3-1.STL,,FP04-F2-1;AX-12-1/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0007.stp-1;FP04-F1-1;AX-12-1/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0006.stp-1,Origin_j3-1,F3-1,j3-1,revolute,0.04565,0.0010255,0.014776,-3.1416,0,1.5708,base_link,0,0,1,100,1,-3.14,3.14,,,,,,,,
l3-2,0.00455554834605721,-0.0375867899880844,-0.000250865030354555,0,0,0,0.0899979291999051,1.87172016777334E-05,-2.08817053695041E-08,-1.89502932188281E-07,1.9077205931428E-05,1.89503836208455E-07,2.03553773315109E-05,0,0,0,0,0,0,package://Spider.SLDASM/meshes/l3-2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/l3-2.STL,,AX-12-1/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0001.stp-1;AX-12-2/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0001.stp-1;FP04-F3-2;FP04-F3-1;AX-12-2/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-4;AX-12-2/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-3;AX-12-2/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-2;AX-12-2/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-1;AX-12-2/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0004.stp-1;AX-12-2/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0004.stp-2;AX-12-1/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0004.stp-2;AX-12-1/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0004.stp-1;AX-12-2/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0006.stp-1,Origin_j3-2,F3-2,j3-2,revolute,0.0145,0,-0.049,1.5708,0,0,Link3-1,1,0,0,100,1,-3.14,3.14,,,,,,,,
l3-3,4.81524561474211E-08,-0.00163955529081804,0.0391610106458949,0,0,0,0.0162354598923105,5.70977126449829E-06,-8.8112790828747E-12,2.26674237565265E-11,9.8511972725976E-06,-5.03809142386341E-08,6.18048965390729E-06,0,0,0,0,0,0,package://Spider.SLDASM/meshes/l3-3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/l3-3.STL,,FP04-F4-1;FP04-F6-1,Origin_j3-3,F3-3,j3-3,revolute,0.0225,-0.0605,0,0,1.5708,0,l3-2,1,0,0,100,1,-3.14,3.14,,,,,,,,
Link1'-1,0.0029272,0.0014395,0.028121,0,0,0,0.016509,4.7513E-06,5.3643E-15,-3.0699E-07,4.7742E-06,-1.5674E-10,6.4655E-06,0,0,0,0,0,0,package://Spider.SLDASM/meshes/Link1'-1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/Link1'-1.STL,,FP04-F2-16;FP04-F1-16;AX-12-30/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0007.stp-1;AX-12-30/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0006.stp-1,Origin_j1'-1,F1'-1,j1'-1,revolute,-0.0063504,0.0010255,-0.059724,-1.5708,0,1.5708,base_link,0,0,1,100,1,-3.14,3.14,,,,,,,,
l1'-2,0.0229772283825683,-0.0179454345262804,0.00026282191392938,0,0,0,0.0903572601752896,1.91049081720944E-05,-2.08818818831712E-08,-1.89504089823545E-07,1.87449036322938E-05,1.89503857894319E-07,2.03556401861555E-05,0,0,0,0,0,0,package://Spider.SLDASM/meshes/l1'-2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/l1'-2.STL,,AX-12-31/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0001.stp-1;FP04-F3-35;FP04-F3-34;AX-12-31/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0004.stp-2;AX-12-31/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0004.stp-1;AX-12-31/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-3;AX-12-31/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-4;AX-12-31/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0007.stp-1;AX-12-31/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0006.stp-1;AX-12-31/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-1;AX-12-31/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-2;AX-12-30/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-4;AX-12-30/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-3;AX-12-30/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0001.stp-1;AX-12-30/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-1;AX-12-30/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-2;AX-12-30/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0004.stp-1;AX-12-30/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0004.stp-2,Origin_j1'-2,F1'-2,j1'-2,revolute,0.037,0,0.1095,3.1416,1.5708,1.5708,Link1'-1,0,-1,0,100,1,-3.14,3.14,,,,,,,,
l1'-3,4.81524560433377E-08,-0.00163955529081773,0.0391610106458952,0,0,0,0.0162354598923104,5.70977126449827E-06,-8.81127908282785E-12,2.26674237478767E-11,9.85119727259758E-06,-5.03809142386411E-08,6.18048965390728E-06,0,0,0,0,0,0,package://Spider.SLDASM/meshes/l1'-3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/l1'-3.STL,,FP04-F4-14;FP04-F6-14,Origin_l1'-3,F1'-3,l1'-3,revolute,0,0,0,1.5708,-1.5708,0,l1'-2,0,-1,0,100,1,-3.14,3.14,,,,,,,,
Link3'-1,0.0028787,0.0013732,0.028034,0,0,0,0.01644,4.7506E-06,1.5342E-16,-3.0699E-07,4.7741E-06,-1.567E-10,6.4649E-06,0,0,0,0,0,0,package://Spider.SLDASM/meshes/Link3'-1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/Link3'-1.STL,,FP04-F2-11;FP04-F1-11;AX-12-20/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0006.stp-1,Origin_j3'-1,F3'-1,j3'-1,revolute,0.04565,0.0010255,-0.13422,3.1416,0,1.5708,base_link,0,0,1,100,1,-3.14,3.14,,,,,,,,
l3'-2,0.00455456547370052,-0.00397722838259307,0.000262821913908251,0,0,0,0.0903572601751924,1.87449036322931E-05,2.08818818831496E-08,1.89503857894261E-07,1.91049081720936E-05,1.8950408982354E-07,2.03556401861555E-05,0,0,0,0,0,0,package://Spider.SLDASM/meshes/l3'-2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/l3'-2.STL,,FP04-F3-25;AX-12-21/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-4;AX-12-21/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0001.stp-1;AX-12-21/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0004.stp-1;FP04-F3-24;AX-12-20/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0001.stp-1;AX-12-21/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-3;AX-12-20/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0004.stp-2;AX-12-20/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0004.stp-1;AX-12-21/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0007.stp-1;AX-12-21/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-1;AX-12-21/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-2;AX-12-21/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0006.stp-1;AX-12-21/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0004.stp-2;AX-12-20/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-4;AX-12-20/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-2;AX-12-20/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-3;AX-12-20/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-1,Origin_j3'-2,F3'-2,j3'-2,revolute,0.0145,0,0.0905,1.5708,0,0,Link3'-1,-1,0,0,100,1,-3.14,3.14,,,,,,,,
l3'-3,4.81524561335434E-08,-0.00163955529081802,0.0391610106458949,0,0,0,0.0162354598923105,5.70977126449827E-06,-8.81127908397801E-12,2.26674237422794E-11,9.85119727259758E-06,-5.03809142386363E-08,6.18048965390729E-06,0,0,0,0,0,0,package://Spider.SLDASM/meshes/l3'-3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/l3'-3.STL,,FP04-F4-9;FP04-F6-9,Origin_j3'-3,F3'-3,j3'-3,revolute,0.0225,0.019,0,0,-1.5708,0,l3'-2,-1,0,0,100,1,-3.14,3.14,,,,,,,,
Link2'-1,0.0029272,0.0014395,0.028121,0,0,0,0.016509,4.7513E-06,-1.1049E-15,-3.0699E-07,4.7742E-06,-1.5671E-10,6.4655E-06,0,0,0,0,0,0,package://Spider.SLDASM/meshes/Link2'-1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/Link2'-1.STL,,FP04-F2-12;FP04-F1-12;AX-12-22/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0006.stp-1;AX-12-22/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0007.stp-1,Origin_j2'-1,F2'-1,j2'-1,revolute,0.09365,0.0010255,-0.13422,3.1416,0,1.5708,base_link,0,0,1,100,1,-3.14,3.14,,,,,,,,
l2'-2,0.0229286148735609,-0.017907446666878,0.000265416209779906,0,0,0,0.0905488366619493,1.9105855921183E-05,-2.08818818831934E-08,-1.89504089823648E-07,1.87458477992373E-05,1.89498695110175E-07,2.03564751299157E-05,0,0,0,0,0,0,package://Spider.SLDASM/meshes/l2'-2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/l2'-2.STL,,AX-12-23/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0001.stp-1;FP04-F3-26;FP04-F3-27;AX-12-22/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0004.stp-2;AX-12-22/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0004.stp-1;AX-12-23/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-3;AX-12-23/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-4;AX-12-23/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-2;AX-12-23/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-1;AX-12-23/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0004.stp-2;AX-12-23/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0004.stp-1;AX-12-22/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-4;AX-12-22/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0001.stp-1;AX-12-22/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-3;AX-12-22/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-1;AX-12-22/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0003.stp-2;AX-12-23/AX-12A.stp-1/ASM0002_ASM.stp-1/PRT0006.stp-1;AX-12-23,Origin_j2'-2,F'2-2,j2'-2,revolute,0.037,0,0.1095,1.5708,1.5708,0,Link2'-1,-1,0,0,100,1,-3.14,3.14,,,,,,,,
l2'-3,4.81524556616986E-08,-0.00163955529081805,0.0391610106458948,0,0,0,0.0162354598923104,5.70977126449828E-06,-8.81127908249813E-12,2.26674237535988E-11,9.85119727259758E-06,-5.03809142386312E-08,6.18048965390728E-06,0,0,0,0,0,0,package://Spider.SLDASM/meshes/l2'-3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/l2'-3.STL,,FP04-F4-10;FP04-F6-10,Origin_j2'-3,F2'-3,j2'-3,revolute,0,0,0,1.5708,-1.5708,0,l2'-2,-1,0,0,100,1,-3.14,3.14,,,,,,,,
